,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target,target_tree1,Ok
0,5.1,3.5,1.4,0.2,0.0,0,True
1,4.9,3.0,1.4,0.2,0.0,0,True
2,4.7,3.2,1.3,0.2,0.0,0,True
3,4.6,3.1,1.5,0.2,0.0,0,True
4,5.0,3.6,1.4,0.2,0.0,0,True
5,5.4,3.9,1.7,0.4,0.0,0,True
6,4.6,3.4,1.4,0.3,0.0,0,True
7,5.0,3.4,1.5,0.2,0.0,0,True
8,4.4,2.9,1.4,0.2,0.0,0,True
9,4.9,3.1,1.5,0.1,0.0,0,True
10,5.4,3.7,1.5,0.2,0.0,0,True
11,4.8,3.4,1.6,0.2,0.0,0,True
12,4.8,3.0,1.4,0.1,0.0,0,True
13,4.3,3.0,1.1,0.1,0.0,0,True
14,5.8,4.0,1.2,0.2,0.0,0,True
15,5.7,4.4,1.5,0.4,0.0,0,True
16,5.4,3.9,1.3,0.4,0.0,0,True
17,5.1,3.5,1.4,0.3,0.0,0,True
18,5.7,3.8,1.7,0.3,0.0,0,True
19,5.1,3.8,1.5,0.3,0.0,0,True
20,5.4,3.4,1.7,0.2,0.0,0,True
21,5.1,3.7,1.5,0.4,0.0,0,True
22,4.6,3.6,1.0,0.2,0.0,0,True
23,5.1,3.3,1.7,0.5,0.0,0,True
24,4.8,3.4,1.9,0.2,0.0,0,True
25,5.0,3.0,1.6,0.2,0.0,0,True
26,5.0,3.4,1.6,0.4,0.0,0,True
27,5.2,3.5,1.5,0.2,0.0,0,True
28,5.2,3.4,1.4,0.2,0.0,0,True
29,4.7,3.2,1.6,0.2,0.0,0,True
30,4.8,3.1,1.6,0.2,0.0,0,True
31,5.4,3.4,1.5,0.4,0.0,0,True
32,5.2,4.1,1.5,0.1,0.0,0,True
33,5.5,4.2,1.4,0.2,0.0,0,True
34,4.9,3.1,1.5,0.2,0.0,0,True
35,5.0,3.2,1.2,0.2,0.0,0,True
36,5.5,3.5,1.3,0.2,0.0,0,True
37,4.9,3.6,1.4,0.1,0.0,0,True
38,4.4,3.0,1.3,0.2,0.0,0,True
39,5.1,3.4,1.5,0.2,0.0,0,True
